Part Name,Count,Source,Alternate Source,,
AMS AS5048A-TS_EK_AB encoder PCB,1,https://www.digikey.com/product-detail/en/ams/AS5048A-TS_EK_AB/AS5048A-AB-1.0-ND/3188612,,,
Herlea X8318S KV100 (Multistar 9235) brushless motor,1,https://www.alibaba.com/product-detail/X8318S-Electric-Brushless-Motor-For-RC_60743175936.html,https://hobbyking.com/en_us/9235-100kv-turnigy-multistar-brushless-multi-rotor-motor.html,,
THK RA8008 cross roller bearing,1,https://www.alibaba.com/product-detail/RA8008-crossed-roller-bearing-THK-bearing_1912942608.html,,,
Pemnet IUB-M3-1 threaded insert,3,https://estore.dbroberts.com/partdetail.asp?pn=IUB%252DM3%252D1&dp=STDIUB%2DM3%2D1&sp=STANDARD+INSERTS&ac=IUBM31&cl=Miscellaneous,,,
Pemnet IUB-M3-2 threaded insert,27,https://estore.dbroberts.com/partdetail.asp?pn=IUB%252DM3%252D2&dp=STDIUB%2DM3%2D2&sp=STANDARD+INSERTS&ac=IUBM32&cl=Miscellaneous,,,
M5x30 (h7) steel dowel pin,3,Misumi: part number MSH5-30,,,
625ZZ bearing,3,,,,
M2.5x4 hex cap screw,4,,,,
M3x12 hex flat head screw,23,,,,
M3x30 hex flat head screw,3,,,,
M4x16 hex flat head screw,4,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
